species,PC1,Location,Confirmed_Coordinates,Coordinates_Lat_Long,Lat_machine_readable,Long_machine_readable,Date collected ,Date_collected_cleaned ,Date_collected_cleaned_machine_readable,Habitat/ distrbution,Concerns/Notes,figure Number/source,Collector and number,avg_temp,min_temp,max_temp,Precipitation,Snowfall,avg_temp_monthly,min_temp_monthly,max_temp_monthly,Precipitation_monthly,Snowfall_monthly,Notes,min_length,max_length,avg_length,min_width,max_width,avg_width,avg_volume_estimated,estimated_volume,avg_length_old,avg_width_old
A_ananaeceps,0.037600179,"Tasmania, Penguite","-41.451803, 147.176669","41.1141° S, 146.0731° E",-41.1141,146.0731,March 1805,3/15/1805,3/15/1805,Terrestrial in Tasmania; also in australia? (See A Farinacea),,,R. C Gunn 1777,,,,,,,,,,,,9.5,11.5,10.5,7,8,7.5,,,,
A_berkeleyi,0.170109842,"India, West Bengal, Darjeeling; Jilla Pahar",,"27.0416° N, 88.2664° E",27.0416,88.2664,Summer 1849; Aug 26 +/- 1849,8/26/1849,8/26/1849,Terrestrial at about 2000-2500 m alt in West Bengal,,figs 231-232,J.D Hooker 93; J.D Hooker 108,,,,,,,,,,,,8,10.5,9.25,6.5,8.5,7.5,,,,
A_baccata,-0.197170805,"France: Alpes Maritimes, Nice; Corsica, Golfe de Cavi; Morocco: Larache; Foret de Mamora; Congo, prov, Equateur, terr, Lisala, Lisala",,"43.7102° N, 7.2620° E",43.7102,7.262,May 1881; May 1887; May 20 1895; April 22 1964; Jan 11 1966; March 22 1967; March 7 1937,5/15/1881,5/15/1881,"Terrestrial in dry, open, often sandy woods in southern Europe and North to Central Africa",,pg 443,J.B Barla; V. Demoulin 3639; R. Bertault 10789; R. Bertault 11080; G. Malencon 415; M. Goossens-Fontana 532,,,,,,,,,,,,10.5,14,12.25,5,6.5,5.75,,,,
A_ameghinoi,0.060630487,"Argentina, La plata",,"34.9205° S, 57.9536° W",-34.9205,-57.9536,"March 20, 1888",3/20/1888,3/20/1888,"In fields ('pampa') in Argentina (provinces Buenos-Aires, Catamarca, and Tucuman according to singer, I.E",,,"C. Ameghino (type: herb. Spegazzini 2850, LPS).",,,,,,,,,,,,11,13,12,8,10,9,,177.7081154,,
A_strobilacea,0.010376303,"Australia, Victoria, Ballarat, Near Bacchus",,"37.5622° S, 143.8503° E",-37.5622,143.8503,March 1891,3/15/1891,3/15/1891,"Terrestrial in Victoria, Austrialia",,figs 122-129,"D. Best, comm. F. Von Mueller",,,,,,,,,,,,8,10,9,6.5,9,7.75,,133.5907298,,
A_longipes,-0.166097526,"USA New York, Long Island, Port Jefferson, ",,"40.9465° N, 73.0693° W",40.9465,-73.0693,Aug 1906,8/15/1906,8/15/1906,NO INFO,n/a,figs 203-205,Ch. H. Peck,71.5,63.9,79,1.73,,,,,,,,10.5,13.5,12,5.5,7.5,6.5,,,11.9,5.3
A_nitida,-0.193274938,"North Carolina, [Chapel Hill], Meeting of the Waters ",,"35.9132° N, 79.0558° W",35.9132,-79.0558,June 18 1917,6/18/1917,6/18/1917,Terrestrial in woods in eastern USA,fig on pg 433,fig 161-163,W.C Coker 2525,67,51,83,0,,73.4,61.5,85.4,9,,(Some days for monthly averages were missing!),10,14.5,12.25,5.5,7,6.25,,396.2530083,,
A_cokeri,-0.105483759,"USA.: Indiana, Jakoma Park; North Carolina, Chapel Hill; tennessee, Knoxville; pro parte; Chilhowee",,"35.9132° N, 79.0558° W",35.9132,-79.0558,"Aug 7, 1919; Sept 21 1913; June 23 1953; June 30 1953; July 6 1955",8/7/1919,8/7/1919,Terrestrial in woods in eastern USA,info on pg 392,figs 99-101,C.H Kauffman (MICH); W.C Coker 814; L.R Hesler 20868 ; L.R Hesler 20875; L.R Hesler 21832 (last 3 coll. partly in TENN and Partly in L).,68,58,78,1.18,Missing,69,59.2,78.8,4.58,Missing,,11,13.5,12.25,7,9,8,,376.1688064,12,7.6
A_aureofloccosa,0.145424781,"Congo, Prov. De L'Equatuer, terr. Conquilhatville, Eala",,"2.1701° N, 21.4872° E",2.1701,21.4872,April 1923; Aug 1923,8/15/1923,8/15/1923,Terrestrial in dry forest in the Congo,,figs 92-95,M. Goosens-Fontana 280,,,,,,,,,,,,7,8.5,7.75,6.5,8.5,7.5,,178.9644252,,
A_borneensis,0.18023331,"Indonesia, Borneo, schwarner Gebergte, Bukit Bidang Menbai (near Bukit Raja) ca. 700 m alt",,"0.9448° S, 112.1907° E",-0.9448,112.1907,Dec 1924,12/15/1924,12/15/1924,"Terrestrial, Borneo",,figs 233-237,Hans Winkler Bo 8936,,,,,,,,,,,,8,10,9,7.5,10,8.75,,,,
