year,date,precip_mm
2000,2000-06-01,16.9
2000,2000-06-02,0.4
2000,2000-06-03,0.2
2000,2000-06-04,8.4
2000,2000-06-05,7.8
2000,2000-06-06,0.0
2000,2000-06-07,3.8
2000,2000-06-08,0.0
2000,2000-06-09,0.0
2000,2000-06-10,1.1
2000,2000-06-11,5.3
2000,2000-06-12,24.7
2000,2000-06-13,1.7
2000,2000-06-14,10.5
2000,2000-06-15,0.6
2000,2000-06-16,1.0
2000,2000-06-17,0.0
2000,2000-06-18,0.0
2000,2000-06-19,0.0
2000,2000-06-20,9.3
2000,2000-06-21,0.0
2000,2000-06-22,0.0
2000,2000-06-23,0.8
2000,2000-06-24,9.1
2000,2000-06-25,0.0
2000,2000-06-26,6.2
2000,2000-06-27,0.0
2000,2000-06-28,5.9
2000,2000-06-29,0.0
2000,2000-06-30,0.0
2001,2001-06-01,17.2
2001,2001-06-02,5.2
2001,2001-06-03,0.0
2001,2001-06-04,0.2
2001,2001-06-05,16.5
2001,2001-06-06,0.0
2001,2001-06-07,0.0
2001,2001-06-08,0.0
2001,2001-06-09,0.0
2001,2001-06-10,0.4
2001,2001-06-11,0.0
2001,2001-06-12,23.9
2001,2001-06-13,0.0
2001,2001-06-14,0.4
2001,2001-06-15,12.6
2001,2001-06-16,0.3
2001,2001-06-17,11.6
2001,2001-06-18,14.4
2001,2001-06-19,0.0
2001,2001-06-20,0.0
2001,2001-06-21,8.0
2001,2001-06-22,0.5
2001,2001-06-23,0.0
2001,2001-06-24,0.0
2001,2001-06-25,0.0
2001,2001-06-26,0.0
2001,2001-06-27,0.0
2001,2001-06-28,0.0
2001,2001-06-29,0.0
2001,2001-06-30,4.6
2002,2002-06-01,0.0
2002,2002-06-02,1.2
2002,2002-06-03,33.4
2002,2002-06-04,33.8
2002,2002-06-05,0.1
2002,2002-06-06,0.0
2002,2002-06-07,0.0
2002,2002-06-08,0.0
2002,2002-06-09,0.0
2002,2002-06-10,8.0
2002,2002-06-11,6.2
2002,2002-06-12,0.4
2002,2002-06-13,2.9
2002,2002-06-14,5.8
2002,2002-06-15,0.2
2002,2002-06-16,1.0
2002,2002-06-17,0.7
2002,2002-06-18,0.0
2002,2002-06-19,0.0
2002,2002-06-20,0.0
2002,2002-06-21,7.7
2002,2002-06-22,0.0
2002,2002-06-23,0.0
2002,2002-06-24,0.0
2002,2002-06-25,0.0
2002,2002-06-26,11.1
2002,2002-06-27,0.0
2002,2002-06-28,0.0
2002,2002-06-29,0.0
2002,2002-06-30,0.0
2003,2003-06-01,0.0
2003,2003-06-02,0.0
2003,2003-06-03,0.2
2003,2003-06-04,0.0
2003,2003-06-05,0.0
2003,2003-06-06,5.7
2003,2003-06-07,0.4
2003,2003-06-08,11.0
2003,2003-06-09,0.0
2003,2003-06-10,3.9
2003,2003-06-11,0.0
2003,2003-06-12,0.0
2003,2003-06-13,0.0
2003,2003-06-14,0.6
2003,2003-06-15,0.0
2003,2003-06-16,0.0
2003,2003-06-17,0.0
2003,2003-06-18,5.6
2003,2003-06-19,0.0
2003,2003-06-20,0.0
2003,2003-06-21,0.0
2003,2003-06-22,0.0
2003,2003-06-23,0.0
2003,2003-06-24,0.0
2003,2003-06-25,3.3
2003,2003-06-26,1.6
2003,2003-06-27,0.0
2003,2003-06-28,8.9
2003,2003-06-29,0.0
2003,2003-06-30,0.0
2004,2004-06-01,0.2
2004,2004-06-02,0.1
2004,2004-06-03,0.0
2004,2004-06-04,0.0
2004,2004-06-05,0.0
2004,2004-06-06,0.3
2004,2004-06-07,0.0
2004,2004-06-08,6.5
2004,2004-06-09,5.8
2004,2004-06-10,51.6
2004,2004-06-11,10.9
2004,2004-06-12,0.0
2004,2004-06-13,14.4
2004,2004-06-14,2.3
2004,2004-06-15,0.0
2004,2004-06-16,12.2
2004,2004-06-17,13.5
2004,2004-06-18,1.1
2004,2004-06-19,0.0
2004,2004-06-20,0.0
2004,2004-06-21,8.1
2004,2004-06-22,0.0
2004,2004-06-23,4.4
2004,2004-06-24,3.2
2004,2004-06-25,0.0
2004,2004-06-26,0.0
2004,2004-06-27,4.3
2004,2004-06-28,0.3
2004,2004-06-29,0.0
2004,2004-06-30,0.0
2005,2005-06-01,0.0
2005,2005-06-02,0.0
2005,2005-06-03,0.0
2005,2005-06-04,6.5
2005,2005-06-05,5.8
2005,2005-06-06,0.0
2005,2005-06-07,0.0
2005,2005-06-08,1.0
2005,2005-06-09,15.2
2005,2005-06-10,2.8
2005,2005-06-11,4.0
2005,2005-06-12,0.4
2005,2005-06-13,7.0
2005,2005-06-14,2.7
2005,2005-06-15,0.0
2005,2005-06-16,0.0
2005,2005-06-17,0.0
2005,2005-06-18,0.0
2005,2005-06-19,0.0
2005,2005-06-20,0.0
2005,2005-06-21,1.0
2005,2005-06-22,0.0
2005,2005-06-23,0.0
2005,2005-06-24,0.0
2005,2005-06-25,24.6
2005,2005-06-26,0.8
2005,2005-06-27,0.0
2005,2005-06-28,10.6
2005,2005-06-29,0.2
2005,2005-06-30,1.6
2006,2006-06-01,0.0
2006,2006-06-02,0.9
2006,2006-06-03,0.0
2006,2006-06-04,0.0
2006,2006-06-05,0.0
2006,2006-06-06,7.7
2006,2006-06-07,0.2
2006,2006-06-08,0.0
2006,2006-06-09,2.9
2006,2006-06-10,7.9
2006,2006-06-11,0.6
2006,2006-06-12,0.0
2006,2006-06-13,0.0
2006,2006-06-14,3.4
2006,2006-06-15,0.0
2006,2006-06-16,0.0
2006,2006-06-17,0.7
2006,2006-06-18,3.5
2006,2006-06-19,0.0
2006,2006-06-20,0.5
2006,2006-06-21,7.2
2006,2006-06-22,0.0
2006,2006-06-23,0.0
2006,2006-06-24,0.0
2006,2006-06-25,35.2
2006,2006-06-26,6.7
2006,2006-06-27,0.4
2006,2006-06-28,0.0
2006,2006-06-29,0.0
2006,2006-06-30,0.0
2007,2007-06-01,7.1
2007,2007-06-02,12.4
2007,2007-06-03,15.5
2007,2007-06-04,3.3
2007,2007-06-05,1.9
2007,2007-06-06,1.5
2007,2007-06-07,4.7
2007,2007-06-08,0.0
2007,2007-06-09,0.0
2007,2007-06-10,0.0
2007,2007-06-11,0.0
2007,2007-06-12,0.0
2007,2007-06-13,0.0
2007,2007-06-14,0.0
2007,2007-06-15,0.0
2007,2007-06-16,0.5
2007,2007-06-17,0.0
2007,2007-06-18,11.0
2007,2007-06-19,0.2
2007,2007-06-20,0.0
2007,2007-06-21,4.4
2007,2007-06-22,7.0
2007,2007-06-23,0.0
2007,2007-06-24,0.0
2007,2007-06-25,0.0
2007,2007-06-26,0.4
2007,2007-06-27,2.9
2007,2007-06-28,0.0
2007,2007-06-29,0.0
2007,2007-06-30,0.0
2008,2008-06-01,0.0
2008,2008-06-02,1.3
2008,2008-06-03,3.6
2008,2008-06-04,0.0
2008,2008-06-05,9.0
2008,2008-06-06,1.4
2008,2008-06-07,1.8
2008,2008-06-08,32.0
2008,2008-06-09,1.3
2008,2008-06-10,0.0
2008,2008-06-11,0.2
2008,2008-06-12,49.5
2008,2008-06-13,5.0
2008,2008-06-14,4.8
2008,2008-06-15,5.3
2008,2008-06-16,0.0
2008,2008-06-17,0.0
2008,2008-06-18,0.0
2008,2008-06-19,0.0
2008,2008-06-20,1.0
2008,2008-06-21,0.0
2008,2008-06-22,3.7
2008,2008-06-23,0.0
2008,2008-06-24,0.0
2008,2008-06-25,2.0
2008,2008-06-26,0.2
2008,2008-06-27,20.1
2008,2008-06-28,2.2
2008,2008-06-29,0.8
2008,2008-06-30,0.0
2009,2009-06-01,7.8
2009,2009-06-02,1.4
2009,2009-06-03,0.0
2009,2009-06-04,0.0
2009,2009-06-05,0.0
2009,2009-06-06,2.6
2009,2009-06-07,19.8
2009,2009-06-08,30.6
2009,2009-06-09,0.0
2009,2009-06-10,0.0
2009,2009-06-11,0.0
2009,2009-06-12,0.8
2009,2009-06-13,9.5
2009,2009-06-14,0.0
2009,2009-06-15,0.0
2009,2009-06-16,0.0
2009,2009-06-17,0.0
2009,2009-06-18,15.9
2009,2009-06-19,11.6
2009,2009-06-20,0.0
2009,2009-06-21,0.6
2009,2009-06-22,6.2
2009,2009-06-23,0.0
2009,2009-06-24,0.1
2009,2009-06-25,0.6
2009,2009-06-26,0.0
2009,2009-06-27,12.4
2009,2009-06-28,0.0
2009,2009-06-29,0.2
2009,2009-06-30,0.0
2010,2010-06-01,0.0
2010,2010-06-02,9.0
2010,2010-06-03,0.0
2010,2010-06-04,12.1
2010,2010-06-05,19.4
2010,2010-06-06,1.6
2010,2010-06-07,0.2
2010,2010-06-08,24.9
2010,2010-06-09,0.0
2010,2010-06-10,3.3
2010,2010-06-11,1.5
2010,2010-06-12,4.2
2010,2010-06-13,3.4
2010,2010-06-14,0.9
2010,2010-06-15,56.8
2010,2010-06-16,0.0
2010,2010-06-17,0.0
2010,2010-06-18,1.8
2010,2010-06-19,0.5
2010,2010-06-20,1.3
2010,2010-06-21,25.0
2010,2010-06-22,0.3
2010,2010-06-23,25.9
2010,2010-06-24,0.0
2010,2010-06-25,0.0
2010,2010-06-26,37.6
2010,2010-06-27,0.7
2010,2010-06-28,0.0
2010,2010-06-29,0.0
2010,2010-06-30,0.0
2011,2011-06-01,0.0
2011,2011-06-02,0.0
2011,2011-06-03,0.0
2011,2011-06-04,0.7
2011,2011-06-05,0.1
2011,2011-06-06,0.3
2011,2011-06-07,0.0
2011,2011-06-08,21.0
2011,2011-06-09,0.0
2011,2011-06-10,17.8
2011,2011-06-11,6.7
2011,2011-06-12,0.1
2011,2011-06-13,0.0
2011,2011-06-14,0.0
2011,2011-06-15,22.3
